Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Eritrea;ERI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;960;1080;1290;1300;1350;1470;1510;1510;1460;1580;1590;1510;1500;1560;1570;1610;1440;1460;1480;1610;;;;;;;;;;;
Spain;ESP;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13530;14310;14690;14860;15270;16150;16740;17700;18850;19770;21430;22640;24100;24840;25900;27230;30150;31680;32340;31480;31220;31310;31470;32230;33420;34910;37400;39570;40780;43190;38080;40880;45950
Estonia;EST;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9070;9810;11050;12370;13720;15870;18280;20480;21610;19850;20460;23300;24920;26800;28120;28530;30620;32990;35640;38270;39000;42720;46080
Ethiopia;ETH;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;410;380;340;380;390;410;450;460;430;450;470;510;510;490;560;630;700;780;860;910;1010;1110;1190;1260;1480;1620;1840;1980;2110;2260;2370;2550;2800
European Union;EUU;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14726.0912;15405.95966;15879.32608;16143.52338;16872.28997;17704.47225;18317.38867;19027.85376;19885.63532;20712.89552;22027.67343;23062.27595;23991.41721;24520.88508;25723.46178;26741.50829;29075.07569;30870.2879;32226.08379;31719.68921;32812.49525;34454.62277;34971.15117;36119.73274;37095.54836;38089.34717;40497.40739;42620.17676;44728.94831;47526.43849;45876.26707;49175.336;54014.89409
Fragile and conflict affected situations;FCS;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2422.268508;2423.331757;2399.203038;2314.847188;2176.407245;2159.583768;2191.536943;2295.152324;2383.578559;2426.679658;2537.329036;2678.415556;2676.298918;2610.955652;2990.11976;3165.274962;3480.861911;3735.769782;3922.462466;3869.448788;4019.769374;4024.211169;4296.193903;4469.795465;4508.215647;4349.878679;4388.96201;4516.844153;4637.728961;4750.19361;4502.358982;4639.658041;4873.272399
Finland;FIN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17830;17080;16570;16660;17750;19020;19630;21470;23120;24520;26620;27790;28690;28880;31420;32190;34770;37950;40150;38440;39460;41070;41060;41660;42180;42920;45140;47590;49780;52070;53190;55560;58950
Fiji;FJI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3780;3810;4100;4270;4510;4850;5180;5080;5060;5520;5790;5810;6130;6200;6640;6930;6830;7020;7160;7220;7280;7610;8080;8860;10240;11060;11340;11810;12750;12670;10850;10760;13370
France;FRA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17770;18390;19040;19300;20070;20850;21540;22510;23660;24790;26500;27990;28820;28540;29460;31020;33110;34800;35860;35470;36730;38430;38500;40410;41010;41730;43830;45580;47620;51580;48880;52880;57090
Faroe Islands;FRO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 Fed. Sts. Micronesia;FSM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2310;2290;2350;2300;2120;2180;2290;2450;2540;2590;2680;2710;2880;2980;3050;3020;3190;3240;3380;3420;3450;3420;3960;3940;4000;3690;4110;4060;4030;4280
Gabon;GAB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10800;11540;10820;11030;11710;12030;12380;12980;13520;12090;11430;11880;12190;12110;11580;12670;11890;12330;11870;11920;12230;12820;13170;13040;13960;12940;12680;13560;13630;13870;13900;12860;14880
United Kingdom;GBR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17490;17870;18510;19360;20820;20030;21280;22750;23830;24430;26610;28040;29430;30690;32340;33080;34610;35220;36280;34800;36590;37420;37980;39270;40550;41670;43220;45610;46560;49270;44840;49980;54920
Georgia;GEO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2580;1830;1700;1800;2160;2660;2890;3070;3140;3400;3660;4170;4610;5220;5990;6840;7110;6960;7430;8120;9720;10420;11420;11820;12260;12920;14030;14930;14060;16020;18830
Ghana;GHA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1560;1660;1720;1800;1850;1920;2000;2070;2140;2210;2280;2370;2450;2550;2700;2880;3030;3220;3490;3590;3790;4260;4690;4980;5100;4870;4620;4690;5010;5340;5620;5850;6380
Gibraltar;GIB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;GIN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;850;860;890;940;970;1010;1040;1090;1120;1160;1190;1240;1320;1280;1310;1340;1460;1560;1610;1550;1620;1690;1740;1700;1720;1760;2010;2370;2440;2540;2470;2500;2840
 The Gambia;GMB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1350;1400;1430;1460;1450;1460;1470;1500;1530;1590;1660;1740;1650;1780;1950;1900;1890;1950;2050;2130;2210;2000;1990;1920;1830;1870;1880;1890;2020;2140;2130;2230;2470
Guinea-Bissau;GNB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;990;1040;1050;1060;1080;1120;1250;1340;950;950;1010;1030;1030;1030;1070;1120;1160;1210;1220;1250;1300;1410;1320;1300;1390;1590;1740;1880;1830;2010;1940;2020;2220
Equatorial Guinea;GNQ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;620;620;840;910;900;970;1550;4030;4450;5740;5210;5640;7180;6820;8550;12310;20240;23230;24650;21390;16690;19120;21520;20560;19850;15730;13770;14440;13930;12410;11800;12040;12850
Greece;GRC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28020;28570;29940;29690;27290;24960;25120;25990;26800;26740;27380;28460;29290;30880;28280;31160;36600
Grenada;GRD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4400;4670;4700;4620;4750;4850;5110;5410;6030;6480;6830;6710;6960;7760;7650;9560;9390;10040;10280;9290;9600;9910;9910;10660;10950;11510;12550;13260;14220;14510;12950;14060;15870
Greenland;GRL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guatemala;GTM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3220;3420;3560;3710;3840;4020;4090;4250;4430;4540;4700;4840;4930;5050;5220;5440;5770;6160;6420;6350;6450;6720;7060;7270;7560;8000;8040;8150;8500;8880;8700;9610;10610
Guam;GUM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guyana;GUY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2700;2820;3240;3730;4210;4530;5100;5440;5450;5630;5760;5990;6140;6260;6580;6700;7130;8080;8400;8790;9390;10070;10700;11270;11200;11450;11470;12160;12600;13240;19080;23020;37710
High income;HIC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18051.53576;18824.37969;19516.82815;20112.63548;21083.37533;21994.91361;22999.43478;24079.94689;24953.12394;25944.58342;27643.99401;28573.74567;29412.73448;30423.33822;32200.72818;33842.3465;36184.38165;37777.27633;38576.16915;37596.88955;39238.66206;41004.11922;42308.62178;43641.35814;44909.67906;45615.22316;46815.7974;48815.78146;50816.31059;52760.78492;51313.74266;55650.22053;60988.27195
 China Hong Kong SAR;HKG;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17740;19130;20580;22900;24170;24930;24880;26590;25610;26380;28450;29470;29800;31980;35260;38280;42730;46700;49570;47240;50230;53710;52990;54710;55910;57450;58660;62440;65500;65260;62470;70840;73940
Honduras;HND;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1900;1830;1920;2080;2070;2180;2200;2300;2360;2330;2480;2530;2580;2660;2810;3020;3230;3500;3650;3550;3550;3660;3690;3780;4020;4410;4690;5110;5250;5390;4940;5600;6210
Heavily indebted poor countries (HIPC);HPC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1017.039258;1032.980644;1035.920247;1055.633542;1057.999175;1101.085316;1125.982909;1183.374462;1200.368916;1225.823632;1256.091722;1301.265711;1332.110371;1379.333474;1456.113418;1548.662256;1645.397394;1739.710788;1824.975474;1855.611452;1916.430565;1986.459729;1984.293251;2057.744698;2237.625925;2288.23752;2375.550181;2432.658913;2521.550733;2600.811335;2574.452172;2705.075937;2957.125136
Croatia;HRV;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8050;8800;9530;9890;9730;10470;11410;12560;13240;14440;15080;17150;19070;20270;19460;19350;20410;20740;21710;22030;23460;24820;27150;28790;31610;30430;35030;40740
Haiti;HTI;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2170;2240;2130;2020;1790;1980;2060;2110;2140;2190;2210;2210;2230;2310;2300;2400;2490;2630;2710;2850;2690;2860;2810;3000;3020;2950;3150;3210;3300;3260;3140;3180;3310
Hungary;HUN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8220;8610;8800;8930;9230;9750;10170;11170;12440;13700;14610;15270;16040;17250;17650;19360;19820;20720;21910;22280;23830;24530;25520;27190;28300;30660;33730;33360;35650;40620
IBRD only;IBD;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2866.325049;2986.61266;3073.404783;3203.328124;3327.470109;3496.316297;3706.137029;3906.040158;3928.061595;4077.527971;4364.934463;4591.419192;4822.157518;5145.7298;5632.587967;6152.047297;6897.168278;7656.646574;8272.706788;8493.372681;9146.506337;9835.381617;10444.11316;10891.89255;11241.5526;11323.41076;11707.13986;12351.65633;13138.20052;13777.91342;13593.45066;15039.32051;16701.76144
IDA & IBRD total;IBT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2551.666599;2653.371491;2727.528442;2830.355081;2929.559895;3070.123989;3242.392053;3405.650297;3424.234132;3546.811919;3776.398497;3963.458359;4151.632784;4414.777769;4814.475462;5239.721799;5845.53976;6451.758929;6938.594463;7110.216547;7620.451097;8156.149777;8624.074803;8980.263957;9277.560089;9345.089062;9637.765421;10120.33522;10726.41184;11210.31356;11034.89939;12129.80587;13409.53304
IDA total;IDA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1299.864363;1339.086014;1378.153964;1391.32524;1411.020184;1461.586753;1511.449645;1557.960152;1584.782193;1631.439015;1677.48272;1752.614868;1822.519332;1909.173005;2045.481292;2190.803917;2376.47783;2529.0777;2650.369616;2722.341821;2844.854038;2970.310107;3069.764264;3207.577592;3409.008093;3498.135495;3593.148558;3682.90531;3861.468896;4006.439973;3967.353168;4225.173515;4625.35442
IDA blend;IDB;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1949.905604;2010.25148;2091.959647;2065.612501;2090.923981;2141.552458;2225.168682;2246.848155;2263.371351;2321.188869;2344.491136;2456.918396;2579.326595;2705.731909;2923.121103;3127.165552;3413.520506;3591.843661;3718.543861;3806.62067;3964.311321;4129.04373;4214.824994;4378.481127;4620.621927;4714.083042;4745.405878;4810.04016;5018.064357;5157.456952;5039.734994;5440.095823;5988.642952
Indonesia;IDN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2920;3170;3400;3680;4020;4360;4720;4940;4150;4090;4370;4710;4970;5190;5490;5890;6360;6870;7370;7660;8210;8770;9370;9710;9890;9880;10150;10600;11320;11980;11830;12730;14250
IDA only;IDX;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;979.6466855;1006.759204;1024.584115;1059.891157;1076.743693;1127.33696;1159.386572;1218.194085;1249.660346;1290.200867;1347.115903;1402.073311;1445.253;1512.615936;1608.008095;1724.237161;1859.483637;1999.974059;2118.768141;2181.788329;2285.50141;2390.57258;2497.436454;2622.849271;2805.342849;2894.355744;3025.81582;3131.637827;3298.372822;3449.452984;3452.120312;3640.265162;3968.539793
Isle of Man;IMN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
India;IND;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1190;1210;1280;1350;1440;1550;1670;1740;1830;1990;2070;2180;2260;2440;2660;2920;3200;3500;3610;3870;4170;4430;4770;4950;5130;5350;5660;6050;6520;6830;6430;7220;8210
Not classified;INX;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ireland;IRL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12780;13440;13930;14640;15820;17330;18830;20450;22480;23590;26340;27830;29530;31280;33430;35050;38790;40440;38230;34650;36320;36700;37520;40440;43260;53170;58340;62000;65690;69690;70720;80870;91950
 Islamic Rep. Iran;IRN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7590;8530;8790;8810;8770;9040;9670;9850;10020;10230;10890;11210;12190;13370;14050;14710;15710;17240;17380;17370;18350;19000;16870;16040;15790;13840;14680;15180;15050;14720;15280;16610;18130
Iraq;IRQ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2640;3490;4490;4540;4570;5000;5900;7790;8950;10470;10550;9430;6020;9210;8510;9570;10310;11860;11920;12240;12810;14350;14450;12930;9120;8840;9900;10160;10680;9230;9600;10820
Iceland;ISL;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23570;24550;26460;28150;28980;28670;30810;32660;32440;34360;35470;36340;38790;34050;33590;32160;34550;36690;42100;43500;46470;50990;53920;54290;59540;53100;55520;65560
Israel;ISR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19980;20920;21460;22090;22350;24130;24700;25120;23790;25320;25410;26230;28140;27460;27250;28770;30750;31510;34050;34530;35560;37870;39250;40200;40710;39860;43400;48820
Italy;ITA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18410;19270;19820;20150;20990;22120;22840;23770;24880;25550;26970;27950;28610;29060;29510;30180;32580;34170;35200;34580;35080;36510;36440;36250;36200;36640;40040;41810;43510;46190;43680;47590;52470
Jamaica;JAM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4350;4630;4910;5720;5690;5940;6150;6100;5970;6060;6200;6340;6430;6780;7040;7270;7740;8030;8180;7730;7820;8100;8320;8500;8630;8810;9130;9700;10010;10380;9400;10300;11480
Jordan;JOR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4260;4110;4640;4760;4890;5140;5150;5350;5510;5650;6080;6450;6710;7000;7700;8390;8770;9170;9640;9940;9830;10040;10180;10220;9350;9130;8990;9580;9770;9940;9670;10100;10890
Japan;JPN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20130;21360;21960;22440;23010;24060;25300;25960;25820;26050;27680;28380;29040;29870;31430;32880;34530;36090;36220;34390;36280;37270;38640;40760;41030;42510;42010;42980;43750;43930;43200;44910;48470
Kazakhstan;KAZ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6820;6160;5880;6090;6370;6440;6630;7240;8540;9610;10550;11650;12590;13920;15260;15370;16020;16710;17790;19050;21900;22190;21760;21490;22160;22940;24040;24420;25280;27080
Kenya;KEN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1670;1690;1660;1640;1680;1760;1830;1830;1870;1880;1880;1930;1920;1950;2050;2190;2320;2470;2460;2170;2320;2470;2550;2780;3040;3390;3970;4230;4500;4720;4670;5150;5680
Kyrgyz Republic;KGZ;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2380;2070;1790;1440;1370;1470;1600;1610;1640;1750;1910;1930;2090;2230;2300;2470;2730;2910;2980;2890;2950;3530;3810;4100;4050;4440;4800;5100;5000;4830;5060;5830
Cambodia;KHM;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;760;790;830;860;950;1040;1130;1190;1300;1440;1650;1850;2080;2210;2190;2330;2500;2730;2890;3020;3220;3510;3770;4090;4380;4330;4560;5080
Kiribati;KIR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1450;1960;2010;1960;1990;2110;1850;2230;2500;2270;2430;2550;2440;2350;2250;2320;2310;2420;2420;2280;2380;2310;2650;3010;3430;4090;3490;3760;3900;4320;3770;3860;4520
St. Kitts and Nevis;KNA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8740;8770;9150;9860;10470;11240;11800;12580;12290;12640;14090;14930;15220;14630;15860;18130;19510;20210;22850;22160;22530;23330;22490;23910;24590;24770;26330;27980;29330;31860;27750;28840;32180
Rep. Korea;KOR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8350;9470;10170;11020;12160;13450;14640;15640;14780;16620;18410;19590;21320;22020;23730;25010;26810;28990;29950;29460;31780;32750;33910;34460;35500;38020;39720;41120;43220;43780;45080;47400;50730
Kuwait;KWT;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46100;56870;61700;68510;67330;70340;72530;66780;69850;67340;65360;74960;85350;94350;100700;101380;96940;85370;81330;83380;85850;81230;75380;51480;48780;57790;56770;56270;53240;57430;64590
Latin America & Caribbean (excluding high income);LAC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5883.017927;6190.218118;6388.740646;6589.973487;6939.878395;7062.925917;7354.886935;7740.096589;7874.41682;7864.402403;8214.276319;8303.013865;8368.833499;8634.615698;9160.512075;9701.0119;10580.39472;11342.15949;11964.48379;11788.36339;12544.3616;13376.64548;13630.99479;14119.94388;14421.4774;14220.67172;14406.37715;14986.0417;15317.00147;15497.33094;14625.71575;15984.38536;17658.81352
Lao PDR;LAO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1010;1060;1110;1180;1260;1340;1430;1490;1530;1660;1720;1830;1950;2030;2230;2470;2630;2920;3120;3390;3540;3830;4510;4960;5570;5850;6510;6830;7390;7700;7710;8170;8810
Lebanon;LBN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3650;4630;5500;6000;6590;7080;7780;7790;7930;7890;8100;8280;8230;7470;9290;9990;10450;11780;12690;13610;14640;15040;15770;15510;14810;15220;16320;17740;18000;17480;14100;13400;
Liberia;LBR;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;860;830;840;580;610;650;710;780;840;870;900;1000;1040;1210;1230;1160;1280;1400;1360;1360;1390;1470;1620
Libya;LBY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20710;23450;23980;26710;28950;31340;31090;29330;30250;16110;28780;24000;21020;22730;22200;24680;26690;24110;16790;22010;23590
St. Lucia;LCA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6040;6170;6790;6820;7010;7150;7470;7450;7930;8210;8820;8610;8820;9200;9920;10130;11260;11590;12330;12210;12370;13270;12980;13410;13130;12650;13690;14340;15190;15160;12080;14210;17110
Latin America & Caribbean;LCN;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5954.376046;6298.706487;6528.528408;6736.436143;7055.807274;7220.389602;7513.172687;7918.582069;8058.2201;8032.777133;8392.174697;8506.431285;8519.136522;8738.556593;9341.900745;9941.166514;10895.67522;11720.2981;12329.79354;12120.15417;12841.65518;13675.20225;13984.97451;14503.15707;14813.87782;14658.60197;14872.37772;15481.97421;15862.5657;16089.57386;15188.06464;16652.81037;18411.57223
Least developed countries: UN classification;LDC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;889.3742434;922.8617072;903.6192411;934.81967;947.3570582;1017.890194;1068.257965;1128.225858;1153.359545;1184.673952;1241.620125;1302.662085;1355.03575;1417.621779;1510.789541;1626.030395;1762.587906;1910.461894;2027.509053;2095.385255;2189.803832;2279.081086;2364.708596;2475.660692;2629.058076;2688.460692;2805.38044;2900.58925;3045.711586;3186.189452;3188.68726;3334.71405;3658.487926
Low income;LIC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;691.948223;705.8465536;716.2075132;743.7209976;755.4221147;787.3097479;830.1595531;881.952921;892.4033007;908.5510339;942.5943924;989.5777029;1010.852328;1049.319522;1111.568564;1186.172704;1264.553422;1347.619382;1405.383769;1428.993585;1485.747757;1499.362726;1446.656881;1506.825094;1642.882024;1708.358173;1811.543974;1840.676358;1897.546329;1959.480326;1945.785478;2024.867904;2202.258537
Liechtenstein;LIE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sri Lanka;LKA;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2390;2550;2700;2930;3110;3300;3460;3730;3910;4100;4420;4420;4630;4970;5330;5770;6340;6900;7290;7600;8230;9050;10140;10700;11200;11710;12600;13210;13730;13820;13300;14290;14030
Lower middle income;LMC;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1940.061778;2000.262058;2041.340336;2056.100401;2091.238922;2185.929385;2298.778427;2373.325803;2461.066881;2577.495051;2682.378654;2817.99942;2945.002004;3146.076658;3392.734152;3654.312912;3970.928147;4306.228052;4478.354172;4632.271553;4906.85566;5154.204153;5414.844017;5595.154883;5758.569221;5870.014173;6109.713994;6414.5857;6797.396805;7070.972861;6836.492074;7445.8882;8293.875171
Low & middle income;LMY;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2452.36277;2553.631098;2624.272879;2722.745072;2817.57702;2948.444529;3114.755507;3271.38267;3285.236306;3409.945253;3634.425924;3816.001534;4005.45416;4272.544833;4657.57932;5072.256671;5656.691508;6241.784576;6709.851079;6887.710054;7391.761449;7913.756127;8373.090571;8724.145781;9014.190777;9069.267117;9347.895702;9810.632856;10397.8756;10854.7082;10684.53376;11751.52404;12983.37489
Lesotho;LSO;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1230;1280;1310;1310;1380;1400;1490;1540;1520;1580;1630;1950;2000;2110;2130;2150;2220;2650;2760;2640;2730;2700;2640;2880;3050;3350;3290;2920;2870;2910;2860;3030;3160
Late-demographic dividend;LTE;GNI per capita, PPP (current international $);NY.GNP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2806.531149;2917.976611;2984.470345;3173.810304;3351.560803;3583.759093;3800.993533;4023.72741;4115.817085;4315.625922;4693.277187;5006.390205;5364.394805;5833.121416;6452.67994;7138.324905;8153.8021;9200.114549;10128.32829;10473.733;11356.21383;12385.78421;13260.34826;13944.77704;14499.46538;14492.61321;14934.79919;15785.69211;16958.57752;18005.41549;18162.19923;20217.36085;22271.97583
